550,592,645
578,603,628
542,580,582
555,627,519
612,582,534
636,625,477
637,579,453
704,591,430
732,581,433
740,609,514
676,570,546
675,526,486
792,562,501
668,545,439
651,586,404
577,547,423
566,597,384
513,572,319
572,572,319
621,558,239
635,614,238
637,573,195
682,623,170
691,609,187
729,651,224
674,631,267
726,685,281
662,698,239
728,716,198
667,728,145
676,726,207
606,710,209
613,724,278
534,742,296
545,713,356
579,737,399
540,706,446
567,761,488
543,714,553
515,737,582
571,734,626
518,732,649
578,742,653
536,822,682
540,810,611
545,774,561
575,834,522
519,840,476
521,845,415
552,847,378
550,839,329
610,834,326
649,824,268
688,781,323
734,831,300
781,800,328
811,806,319
858,762,355
801,832,348
803,790,262
790,796,310
808,834,377
775,822,417
705,851,433
660,858,384
698,798,347
677,858,333
660,786,278
685,844,244
702,817,199
649,818,140
677,816,188
702,774,210
717,816,298
739,791,305
776,753,323
756,688,319
796,677,272
830,712,339
813,691,366
797,620,416
766,564,365
817,518,343
834,529,280
756,505,293
768,517,218
758,505,188
679,499,136
709,500,206
673,482,253
644,514,283
675,443,356
634,483,370
565,509,332
574,503,267
558,421,315
571,420,345
592,485,433
588,510,447
528,466,480
